,x,y,z,priority,exist,row
0,1.2267,-0.8740000000000001,0.078,1,False,0
1,1.3267,-0.8740000000000001,0.078,2,False,0
2,1.4267,-0.8740000000000001,0.078,3,False,0
3,1.2267,-0.9740000000000001,0.078,4,False,0
4,1.3267,-0.9740000000000001,0.078,5,False,0
5,1.4267,-0.9740000000000001,0.078,6,False,0
6,1.2267,-1.075,0.078,7,False,1
7,1.3267,-1.075,0.078,8,False,1
8,1.4267,-1.075,0.078,9,False,1
9,1.2267,-1.175,0.078,10,False,1
10,1.3267,-1.175,0.078,11,False,1
11,1.4267,-1.175,0.078,12,False,1
12,1.2267,-1.276,0.078,13,False,2
13,1.3267,-1.276,0.078,14,False,2
14,1.4267,-1.276,0.078,15,False,2
15,1.2267,-1.376,0.078,16,False,2
16,1.3267,-1.376,0.078,17,False,2
17,1.4267,-1.376,0.078,18,False,2
