,x,y,z,priority,exist,row
0,1.2268490743290623,-0.8743811995982802,0,3,True,0
1,1.3268486954055472,-0.8746564895535471,0,2,True,0
2,1.4268483164820318,-0.8749317795088141,0,1,True,0
3,1.2265737843737956,-0.974380820674765,0,6,True,0
4,1.3265734054502802,-0.9746561106300318,0,5,True,0
5,1.4265730265267649,-0.9749314005852988,0,4,True,0
6,1.2262957415189757,-1.0753804379620144,0,9,False,1
7,1.3262953625954608,-1.0756557279172814,0,8,False,1
8,1.4262949836719456,-1.0759310178725479,0,7,False,1
9,1.2260204515637092,-1.1753800590384993,0,12,False,1
10,1.3260200726401938,-1.1756553489937658,0,11,False,1
11,1.426019693716679,-1.175930638949033,0,10,False,1
12,1.2257424087088895,-1.2763796763257491,0,15,False,2
13,1.3257420297853746,-1.2766549662810156,0,14,False,2
14,1.4257416508618592,-1.2769302562362823,0,13,False,2
15,1.2254671187536228,-1.3763792974022333,0,18,False,2
16,1.3254667398301077,-1.3766545873575002,0,17,False,2
17,1.4254663609065923,-1.3769298773127672,0,16,False,2
